id,question,answer
1,船舶的附加阻力包括,附体阻力、汹涛阻力和空气阻力
2,当船舶有纵倾和横倾时，平均吃水为,首中尾的平均吃水加漂心修正
3,船舶的重量性能包括？,排水量和载重量
4,船舶的总载重量等于船舶的满载排水量减去,空船重量
5,船体发生纵向弯曲变形和破坏是由于,总纵弯曲强度不足
6,船舶稳定平衡的主要特征是,稳心在重心之上，复原力矩大于零
7,船舶的载货能力包括,载货重量能力、载货容量能力及其它载货能力
8,船舶平浮在预定吃水的条件是什么,浮力等于重量；重力与浮力的作用线在同一铅垂线上
9,船的典型排水量与载况有几种？为什么说它们是典型的？,民船的典型排水量通常为空船排水量和满载排水量。货船有四种：满载出港、满载到港、空载出港、空载到港。
10,影响阻力估算准确性的因素有哪些？,"剩余阻力系数C,湿面积系数S和附体阻力。"
11,影响航速的因素有哪些,排水量。主尺度及船型系数。船体型线。动力装置。纵倾。潜水影响。污底。风及汹涛阻力
12,什么是船舶稳性？,船舶稳性是指受外力作用离开平衡位置而倾斜，当外力消除后能自行回复到原来平衡位置的能力。
13,船舶设计中的稳性问题包括那些方面？,有三方面：外力和内力，以及它们的计算方法稳性衡准，即判断船舶平安与否的一种度量影响稳性的因素分析，如何保证船舶有足够的稳性
14,在设计初始阶段初稳性不满足要求如何解决？,适当增加压在水数量调整各舱装载重量调整总布置调整B或BT
15,常用的船体型线的生成方法有哪几种？,优秀母型船改造。电子计算机生成型线。船模系列资料。
16,船舶航行时一般保持什么状态,尾倾状态
17,船舶的固定压载是指什么,固定压载是固定加在船上的载荷，通常采用生铁块、水泥块和矿渣块，一般在船下水前后放在船底部1固定压载的目的是降低船舶的重心以提高稳性；增加船舶重量以加大吃水；必要时用来调整船舶的浮态。
18,船舶纵倾调整有哪些措施,①改变双层底以上舱室的相互位置；②改变双层底以上舱室的相互位置：③适当移动机舱位置；④设置首部平衡空舱或深压载水舱；⑤改变浮心位置
19,平均吃水的含义是什么？其大小受哪些因数的影响,船舶处于实际纵横倾或者存在船体变形状况下船舶的排水体积与某吃水下船舶正浮且无船体变形状况下的船舶的排水体积一样时，那么该吃水值就为船舶的平均吃水。跟不同船舶的浮态对应的首尾和船中吃水以及吃水差有关，同时还和漂心距中距离有关
20,船舶稳性的分类有哪些？,1、横稳性和纵稳性2、初稳性和大倾角稳性3、静稳性和动稳性4、完整稳性和破舱稳性
21,船舶有哪几种平衡状态,"三种，稳定平衡、不稳定平衡、中性平衡稳定平衡：重心G,点在稳心M点之下，复原力矩M的作用方向与倾侧力矩M的作用方向相反，当外力消失后，它能使船舶回复到原平衡状态。凡具有这种稳性的船舶相对于其原平衡位置而言是稳定的，所以称是稳定平衡。此时，GM和复原力矩M均为正值。不稳定平衡：重心G,点在稳心M点之上，复原力矩M的作用方向与倾侧力矩M的作用方向一样，使船舶继续倾斜。凡具有这种稳性的船舶相对于其原平衡位置而言是稳定的，所以称是不稳定平衡。此时，GM和复原力矩M均为负值。中性平衡：重心G,点在稳心M点重合，GM和复原力矩M均为O,外力消失后船舶不会回到平衡位置也不会继续倾斜。"
22,什么是航速计算？,航速计算又称为快速性予报，有两种情况，一是达到船东要求的航速计算主机功率， 二是在船东选下的主机型号和功率情况下，计算能达到多大的航速。 在初步设计中，应用型船资料可用图谱或计算方法作粗略估计，适用于主机初步选 型或航速初估，较精确的快速性予报应通过船模试验得到。 平时统称的航速实际上有两种情况，一是试航速度，一是服务航速。
23,什么是试航速度？,试航速度是指在轻载情况下（通常货船是在 20%载重量的情况下）主机发出最大的 持续功率 MCR，在风平浪静（一般在蒲氏风级 3 级以下）深水，新船时所达到的速度， 以节计（即每小时航行的海里数）
24,什么是服务航速？,服务航速是指在主机发出常用功率 CSR（可以是 MCR 的 90%或 85%）且带有一定 的海上裕度（可以是 15%SM 或 10%SM）所达到的确良速度，以节(kn)计。
25,船舶快速的优良性？,船舶快速性优良是指阻力低(PE↓)和推进因子高(QPC↑)这样所需的主机功率是最小 的，但往往 PE低的型线其 QPC 不一定最氏，要设计者平衡。
26,静水力性能是什么？包括哪些要素,静水力性能计算是船舶总体性能的最基本计算，是稳性计算的基础。目前均在型线 确定以后通过计算机计算出各项静水力要素数值，静水力主的要素如下：排水体积▽(m3 )及排水量△(t)； 浮心纵向位置 LCB(m)（浮态计算有用）；浮心垂向位置 KB(m)； 横稳心垂向位置 KM(m)； 水线面面积 AW(m2 )； 每厘米纵倾力矩 MCT(t•m/cm)； 漂心纵向位置 LCF(m)； 每厘米尾纵倾排水量变化 Dzj(t/cm)； 各船形系数：方形系数 CB=▽/LBd； 舯剖面系数 Cm=Am/Bd； 水线面系数 CW=Aw/LB； 棱形系数 Cp= CM
27,完整稳性计算是什么,完整稳性计算主要是大倾角稳性计算，它的衡指标是：各种典型的装载工况下经自由液 面修正后的初稳性高度 GM，最大静稳性力臂的对应横倾角，最大静稳性力臂值，突风和横 摇衡准数等。此外不同船型还有不同的衡准要求。
28,破舱稳性是什么,破舱稳性即船舶破损以后船舶的残存能力和水线位置是否满足有关公约、规则和规 范的要求。
29,吨位有什么作用？,吨位的作用有以下三条：1、船舶吨位是税收和各类收费的基准。例如向港口交纳的停泊费、引水费、灯塔 费、码头费、进坞费及海关税、检验费等。此外，在造船、买卖船舶以及船舶保险时也 以总吨位的大小来计算费用。  2、在一些规范和国际公约中常用总吨位来划分船舶大小等级，以此来规定设备配 备的标准。例如，液货船消防设施的配置按 2000 总吨以上，500~2000 总吨，500 总吨以 下，三种不同标准配置。 3、船舶总吨位是各类船舶统计的一种常用衡准。
30,船舶吨位包括什么,船舶吨位包括总吨位 GT 和净吨位 NT。商船的总吨位大体代表了它的总容积，它表 示船舶的大小。而净吨位大体代表了船舶能用于营利的有效容积，它表示船舶的营运能 力。是船舶尺度的基本参数。注意吨位是容积的概念，不是重量的概念。它不同于载重 吨，载货吨或者排水量。
31,如何衡量耐波性,耐波性指标受诸多因素的影响，是一个综合性指标，它同海洋环境条件有关，并随 任务不同而异。 耐波性衡准要素可以归纳为 4 类 12 个要素：绝对运动振幅：横摇角、纵摇角、飞行甲板上某点的垂直位移； 绝对速度及加速度：垂直加速度、水平加速度、晕船 MSI、砰击加速度； 相对于波面运动：砰击（首部出水且其落向波面的速度超出阀值）概率、声呐罩 出水频率、甲板淹湿（上甲板首部入水）频率、螺旋桨出水概率； 飞机的相对运动：飞机相对于飞行甲板的垂向速度。 耐波性的运动值是一个概率值，一般以 3 1 有义值来表示，而不是平均值。 不同的装载工况，不同的重心高度，其耐波性的运动值是不同的。 不同的海况（不同的波浪等级、浪高、周期、浪向）其耐波性的运动值也是不同的。
32,良好的操纵性应具备,足够的航向稳定性；中小舵角有良好的应舵性能； 大舵角的回转性能，例如在全速航行时操 35°舵角时的回转直径回转时间。 适中的主机停车和主机逆转的停船性能。
33,船舶的静水力性能资料包括哪几类？各自包含哪些参数和曲线？,船舶的静水力性能资料包括：静水力曲线图、载重标尺、静水力参数表三种。静水力曲线图包括：排水量曲线、型排水体积曲线、浮心距船中距离、浮心距基线高度、水线面面积、浮心距船中距离、厘米吃水吨数、每厘米纵倾力矩曲线等。载重标尺包括：船舶实际吃水、排水量、厘米吃水吨数、每厘米纵倾力矩、横稳心距基线高度等。静水力参数表包括：排水量、厘米吃水吨数、每厘米纵倾力矩、横稳心距基线高度、浮心距基线高度、浮心距船中距离等
34,平均吃水的含义是什么？其大小受那些因数的影响？,船舶处于实际纵横倾或者存在船体变形状况下船舶的排水体积与某吃水下船舶正浮且无船体变形状况下的船舶的排水体积相同时，则该吃水值就为船舶的平均吃水。跟不同船舶的浮态对应的首尾和船中吃水以及吃水差有关，同时还和漂心距中距离有关。
35,载重线标志由哪几部分组成？,载重线标志的组成：1、国际航行的船舶的载重线标志：1)甲板线，2)载重线圈及水平横线，3)各载重线，4)冰极标志；
36,勘划载重线标志的目的是什么？,目的：用以限制最大船中吃水和确保船舶最小干眩；
37,船体强度的概念是什么？,船体强度是指为了保证船舶安全，船体结构必须具有的抵抗各种内外作用力不使之发生极度变形和破坏的能力。
38,船体强度有那些分类？,分类：总强度和局强度；总强度又分为纵向强度，横向强度和扭转强度
39,什么是快速性？,船舶快速性是指在给定主机功率下船舶的直线均速航行的性能。
40,如何改善快速性？,为了提高船舶的快速性，一方面应尽力降低流体对船舶的阻力，另一方面测应尽可能提高船舶的推进系数。
41,船舶阻力由哪几个部分组成？,阻力分为基本阻力和附加阻力两部分。
42,基本阻力按其产生的原因不同，可分为哪三部分？,基本阻力按阻力产生原因不同可分为摩擦阻力；压差阻力，通常称为剩余阻力，根据其不同特点分为黏性压差阻力（涡流阻力），兴波压差阻力（兴波阻力）。
43,什么是船舶的耐波性？,耐波性是船舶在风浪海况下的航行性能。船舶有6个自由度的运动，分别为纵荡，横荡，垂荡，横摇，纵摇，艏摇。
44,船舶摇荡有哪几种形式？有何危害？,船舶在海上激烈颠簸和摇摆，会使船舶稳性变坏，降低航速，甲板上浪，损坏船体结构。造成货损，引起旅客头晕和影响船员工作等，严重时还会在波浪中谐摇，危及船舶安全。
45,何谓航向稳定性？,船舶航行中受到风、浪、流等极小的外界干扰作用，使其偏离原来运动状态。在外来干扰消失后，保持正舵的条件下，船舶能回到原来运动状态的能力。
46,航向稳定性如何判别,1)外力干扰消失后，在正舵条件下，如船舶最终能以一个新航向作直线运动，称直线稳定性；2)外力消失后，在正舵条件下，如船舶最终能恢复到原航向上作直线运动，仅与原来运动轨迹存在一个偏量，称方向稳定性；3)外力干扰消失后，在正舵条件下，如船舶最终能自行恢复到原来航线上，航向与原航向相同，且运动轨迹无偏离，称具有位置稳定性；4)外力干扰消失后，最终进入一个回转运动，称该船不具备航向稳定性。
47,为何低速船舶一般比较短粗，而高速船舶均瘦长？,对低速船（通常F<0.18的船）来说，摩擦阻力占总阻力比例很大，所以总阻力随船长的增加而增大，较短的船长可以获得较低的摩擦阻力，其最低阻力船长较短。高速船(F>0.3的船)因剩余阻力占总阻力的比例很大，所以总阻力随船长的增加而减小，较长的船长获得较低的剩余阻力，其最低阻力船长较长。基于上述原因，通常低速船都设计的短而肥，而高速船设计得较为瘦长。
48,什么是登记吨位？,是指根据国际船舶吨位丈量公约或船籍国政府制定的吨位丈量规则核定的“登记吨位”，包括总吨位和净吨位
49,抗沉性最差的船是,滚装船
50,对稳性、抗沉性和快速性要求最高的船为,B．客船
51,首垂线是指,过首柱前缘与夏季载重线的交点所作的垂线
52,中横剖面是指,中站面与船体相截所得的剖面
53,在船体型线图的横剖线图上，表示船体真实形状的是,横剖线
54,梁拱的主要作用是,迅速排泄甲板积水
55,龙骨线是指,中线面与船体型表面底部的交线
56,舷弧是表示,上甲板边线的纵向曲度
57,船舶的主尺度是根据哪种规范定义的,钢质海船入级与建造规范
58,主船体是指,上甲板以下的船体
59,船体基准面有,中线面，中站面，基平面
60,度量船体横向尺度的基准面是,中线面
61,度量船体纵向尺度的基准面是,中站面
62,度量船体垂向尺度的基准面是,基平面
63,尾垂线是指,沿着舵柱后缘做的垂线
64,船体的三个主要剖面是,设计水线面，中纵剖面，中横剖面
65,中纵剖面是指,中线面与船体相截所得的截面
66,油船设置纵向水密舱壁的目的是,减少自由液面影响
67,油船结构中，隔离舱应设置在哪儿,货油舱和炉舱之间、货油舱和居住舱室之间
68,集装箱船的机舱一般设在,中尾部、尾部
69,需设置上下边舱的船是,散货船
70,装卸效率高、货运周期短、货损小、装卸作业简单的船是,集装箱船
71,何种船舶的货舱内需设加温管系,油船
72,矿砂船设置大容量压载边舱，其主要作用是,保证空载时吃水和稳性
73,油船的货油舱和居住舱室之间应设置,隔离舱
74,新型油船设置双层底的主要目的有,防止污染海洋
75,抗沉性最差的船是,滚装船
76,横舱壁最少和纵舱壁最多的船分别是,滚装船，油船
77,单甲板船有,油船，干散货船，集装箱船
78,根据《SOLASl974》的规定，凡载客超过几个人的船舶，定义为客船,12
79,对稳性、抗沉性和快速性要求最高的船为,客船
80,集装箱船通常用什么表示其载重能力,标准箱TEU数目
81,常用的两种集装箱型号和标准箱分别是,40ft集装箱、20ft集装箱
82,集装箱船设置双层船壳的主要原因是,提高船体扭转强度
83,结构简单，成本低，装卸轻杂货物作业效率高，调运过程中货物摇晃小的起货设备是,单吊杆式
84,加强船舶首尾端的结构，是为了提高船舶的,局部强度
85,船体受到最大总纵弯矩的部位是,船舯
86,机舱内的双层底较其他货舱内双层底高的目的是,保证与螺旋桨轴线配合
87,船舶附体包括,舵、螺旋桨、舭龙骨、减摇鳍、尾轴架
88,首尾尖舱的舱壁是,水密舱壁
89,大型杂货舱的上甲板多采用纵骨架式结构的目的是,提高总纵强度
90,如果甲板受到拉应力，而船底受到压应力时，船体发生什么变形,中拱变形
91,油船货油舱与居住舱之间应设置,隔离舱
92,横骨架式舷侧结构中，每隔三四个助位设置一强肋骨，是为了,提高局部强度
93,杂货船的骨架结构，一般采用,上甲板用纵骨架式结构，下甲板用横骨架式结构
94,油船的货油舱设置纵向舱壁的主要目的是,减少自由液面的影响
95,万吨级杂货船的下甲板都采用,横骨架式结构
96,船舶发生中垂时，有什么变化,"甲板受压力, 船底受拉力"
97,中尾机型船适用于,高速定期普通货船和高速集装箱船
98,按照机舱在船长方向的位置划分船型，中机型船主要适用于,客船
99,液舱一般都对称于船舶纵向中心线设置的原因是,破舱稳定需要
100,舱室四周需设置隔离空舱的是,润滑油舱
101,在单桨船上，尾轴轴隧的中心线一般是,偏向右舷
102,一般商船的龙骨线是,水平直线
103,总纵弯曲力矩沿船长方向的分布规律为,弯曲力矩值向首尾两端逐渐减少
104,船体强度是指船体结构抵抗什么作用的能力,内力、外力
105,船体发生总纵弯曲的原因是,由于重力和浮力分布不均匀
106,哪个钢板的厚度最大，以满足总纵弯曲强度的要求,上甲板边板
107,船体结构中的实肋板是布置在,船底
108,机舱内双层底高于货舱内双层底的主要原因是,为了主机和轴配合，减小机座高度
109,何种船的货舱内需设斜梯,散货船
110,组成船体纵向强度的主要构件是,桁材
111,纵骨和实肋板相交时可以,在实肋板上开切口，让纵骨穿过
112,承担主机重力作用的主要构件是主机基座中的,两道纵桁
113,液舱中的测深管不宜设置在,液舱左右两舷
114,应急消防泵应设置在,独立水密舱内
115,船舱破损大量进水，可用于应急排水的泵有,压载水泵和主海水冷却泵
116,甲板上货舱口角隅处产生裂缝，其原因可能是,应力集中
117,左右两舷侧纵桁之间设有强胸横梁的有,首尖舱、尾尖舱
118,设置制荡舱壁的船舱有,首尾尖舱
119,加强机舱舷侧结构的措施是增设_,强肋骨
120,机舱振动较大，它的舷侧结构需要加强，为此该区域与其它舱室舷侧结构的主要区别在于,增加了强肋骨和舷侧纵桁
121,总布置图是由哪几组图组成的,侧面图，甲板平面图，平台平面图，舱底平面图
122,船体结构图包括,外板展开图
123,在外板展开图中，外板的横向尺寸和纵向尺寸,分别为实际长度和投影长度
124,中机型船比尾机型船容易调节,纵倾
125,在主尺度相同的情况下，中机型船比尾机型船装货,少
126,尾机型船的优点是,装卸效率高、结构连续、轴系短
127,轴隧与机舱之间需安装一道什么门,水密
128,民用船舶一般不设置何种型机舱,首机型
129,保证液体舱在注入或排出液体时，舱内空气能自由地从管中排出或进入舱中的是,空气管
130,强肋骨一般是布置在何种舱室中,机舱
131,任何海洋运输船舶均需设置的舱壁有,防撞舱壁
132,机舱的前后端均设有,水密横舱壁
133,对于机舱在中部的船舶，要求设水密横舱壁一般,不少于四道
134,普通杂货船设有支柱，其作用是,支撑上一层甲板的载荷、力的传递作用
135,舷侧肋骨的主要作用是,保证横向强度
136,在横骨架式舷侧结构中装设强肋骨是为了,保证横向强度
137,用来分隔不同用途双层底舱的肋板是,水密或油密肋板
138,舷侧结构中的横向构件是,肋骨
139,船底结构中，纵向连续构件有,中内龙骨，中底桁
140,在横骨架式船体结构中，船体底部中心线上的纵向构件是,中底桁
141,船底结构中的横向构件是,肋板
142,上甲板中最厚的板是,甲板边板
143,船底结构有,单层底、三层底
144,纵骨架式单层底结构，一般应用于,油船
145,各层甲板中最厚的一层甲板是,强力甲板
146,甲板厚度最大的区域是,船中
147,强力甲板板最厚的区域是,船体中部0．4船长
148,甲板结构中的横向构件是,横梁
149,全船最薄的甲板板是,舱口之间的甲板板
150,保证船体横向强度的构件是,"肋骨, 肋板，横梁"
151,肋骨框架是由什么组成,肋板，肋骨，横梁，肘板
152,外板中较厚的列板是,平板龙骨、舷顶列板
153,船舶具有稳性的原因是,船舶倾斜后所受的重力和浮力产生的力矩作用
154,船舶重力作用线与倾斜后浮力作用线之间的垂直距离称为,静稳性力臂
155,当船舶重心与浮心重合时，横向微倾后的初稳性高度 GM,为正
156,船舶横倾角小于 10°~15° 的稳性称为,初稳性
157,船舶横倾角大于 10°~15° 的稳性称为,大倾角稳性
158,在初稳性高度计算公式 GM=KM － KG 中， KM 表示,横稳心距基线高度
159,在研究初稳性时，船舶受外力作用发生小角度倾斜，则假定,船舶的稳心不发生变化
160,船舶稳心半径 BM 是指,稳心与浮心之间的垂直距离
161,船舶半载以下时，横稳心距基线高度 KM,随排水量的增大而减小
162,船舶小角度倾斜时，浮心,移动幅度不能忽略不计 (
163,船舶存在自由液面会使,稳性力矩减小
164,自由液面对 GM 的影响值与什么成反比,船舶排水量
165,设置两道纵向水密隔壁的矩形舱液，其自由液面面积惯性矩为不设置纵向水密隔壁液舱的,1/9
166,少量装卸货后，船舶初稳性高度值的改变量与什么无关,装卸货物前船舶的浮心高度
167,卸载悬挂货物对稳性的影响相当于,将悬挂货物装由悬挂点卸出
168,船舶倾斜试验的目的是,测量船舶空船时的重心高度
169,船舶大倾角倾斜时什么不变,排水体积
170,船舶静稳性力臂曲线在什么处切线的斜率为初稳性高度,原点
171,船舶受静力作用发生倾斜，当船舶横倾角等于稳性消失角时，如果外力矩消失，船舶将,静止不动
172,在静稳性曲线图上，曲线斜率最大点所对应的船舶横倾角,甲板浸水角
173,当船舶的静稳性力矩与外界风压倾侧力矩相同时，船舶达到,静平衡
174,在不同性质但同样大小的横倾力矩作用下，动横倾角比静横倾角,大
175,在静稳性曲线图上，恒定横倾力矩的功表示,一个矩形的面积
176,船舶在动力作用下，不致倾覆的条件是风压倾侧力矩必须,小于最小倾覆力矩
177,船舶的稳性衡准数 K 是指,最小倾覆力矩与风压倾侧力矩的比值、最小倾覆力臂与风压倾侧力臂的比值
178,船行中船舶的横摇周期 Tθ 与船舶 GM 的关系是,Tθ 越大， GM 越小
179,船舶用舵转向时横倾较大，说明,稳性过小
180,一艘满舱满载的船舶发现稳性不足时，可通过什么来调整,垂向轻重货物互换
181,要使船舶处于中性平衡状态，必须满足的条件是,GM = 0
182,船舶作小角度倾斜时，浮心的运动轨迹是,弧线
183,在估算各类货物的重心高度时，对于首尾部位的货舱，货物的重心可取为货堆高度的,54%~58%
184,消除船舶初始横倾有利于船舶稳性怎样变化,增大
185,甲板货的堆积高度一般不超过船宽的,1/5~1/6
186,消除用船上重吊装卸重大件货物引起的船舶横倾角的方法有,横向移动载荷、侧翼压载
187,通常情况下，为了满足船舶具有适度的稳性，对具有二层甲板的船舶来说，其二层舱装货物量约占全部货物的,35%
188,根据稳性规则及实践经验，对万吨级普通货船满载时 GM 取多少较适宜,3%
189,稳性力矩是指,船舶重力与倾斜后浮力作用线之间的垂直距离称为排水量之积
190,当船舶重心与浮心重合时，则橫倾后静稳性力臂,为正
191,船舶随遇平衡的主要特征是,稳心与重心重合，稳性力矩为零
192,按作用于船上外力矩的性质，将船舶稳性划分为,静稳性和动稳性
193,静稳性是指船舶在倾斜过程中什么的稳性,不计及角加速度和惯性矩
194,GM 是船舶初稳性的度量，因为,当船舶倾角为小倾角时，稳心基本不随船舶倾角的改变而改变
195,船舶小倾角纵倾时，其倾斜轴为,Y 轴
196,自由液面对船舶初稳性的影响，相当于船舶的什么提高,重心
197,某船在航行中，有压载舱、燃油舱及淡水舱各一个，均存在自由液面，则整个航次,自由液面对稳性的影响随排水量的变化而改变
198,根据经验，船舶进行倾斜时的横倾角一般应为,2°-4°
199,船舶在大角度横倾时，稳心位置做什么运动,做曲线运动
200,在研究船舶动稳性时，当船舶受到一个小于最小倾覆力矩的风压力矩 ( 设定相当时间内大小不变 ) 持续作用，船舶将,左右摇摆，最后平衡于静横倾角处
201,船舶达到动平衡的标志,外力臂曲线下的面积 = 复原力臂曲线下的面积、外力矩的功 = 复原力矩功
202,船舶动稳性的大小可用什么来衡量,动稳性力矩
203,横倾角为 0 时的动稳性力臂为,0
204,"我国《法定规则》规定 , 当θ为多少时意味着船舶稳性丧失",θ> 船舶进水角
205,根据《法定规则》对船舶完整性的要求，无限航区的普通货船，最大复原力矩所对应得横倾角不小于,30°
206,对具体船舶而言，排水量一定时，船舶重心越高，对应的最小倾覆力矩,越小
207,船舶的横摇周期是指,船舶横摇四个连续摆幅所需要的时间、船舶横摇一个全摆程所需要的时间
208,当船舶稳性过小时，航行中应采取什么转向,小舵角
209,船舶在 3 级风时摇摆频率过高，表明,船舶稳性过大
210,何谓航向稳定性？,船舶航⾏中受到风、浪、流等极⼩的外界⼲扰作⽤，使其偏离原来运动状态。在外来⼲扰消失后，保持正舵的条件下，船舶能回到原来运动状态的能⼒。
211,航向稳定性如何判别,判别：1）外⼒⼲扰消失后，在正舵条件下，如船舶最终能以⼀个新航向作直线运动，称直线稳定性；2）外⼒消失后，在正舵条件下，如船舶最终能恢复到原航向上作直线运动，仅与原来运动轨迹存在⼀个偏量，称⽅向稳定性；3）外⼒⼲扰消失后，在正舵条件下，如船舶最终能⾃⾏恢复到原来航线上，航向与原航向相同，且运动轨迹⽆偏离，称具有位置稳定性；4）外⼒⼲扰消失后，最终进⼊⼀个回转运动，称该船不具备航向稳定性；
212,何谓航向改变性？,表⽰船舶改向灵活的程度，通常由原航向改驶新航向时，到新航向的距离来表⽰船舶改向性的优劣。航向改变性通常⽤初始回转性能和偏转抑制能⼒来衡量。初始回转性能是指船舶对操舵改变航向的快速响应性能：由操舵后船舶航进⼀定距离上船⾸转过的⾓度⼤⼩来衡量；偏转抑制性能：指船舶偏转中操正舵、反向压舵，使船舶停⽌偏转保持直线航⾏的性能；
