id,question,answer
213,哪些因素影响航向改变性？,影响航向改变性的因素：1)⽅型系数Cb⼤，旋回性好；2）舵⾓：⼤舵⾓，旋回性好；3）吃⽔与吃⽔差；4）横倾；5）浅⽔；6）其他因素：（如强风、强流等）
214,掌握船舶变速性能（冲程、冲时）对船舶操纵有何意义？,前进中的船舶完成变速过程中所前进的距离，称为冲程，所经历的时间，称为冲时。当船舶进⾏启动、变速、停车、倒车时因惯性的存在，采取上述措施时，需经⼀段时间，航⾏⼀段距离，才能从⼀种定常运动状态改变到另⼀种运动状态。意义：在实际操纵船舶时，应充分考虑到本船的冲程和冲时（即考虑⼀提前量）才能得⼼应⼿地及时将船停住或避让来往船舶或及时避开障碍物，才能采取⼀切有利于安全航⾏的措施，避免紧迫局⾯和事故的发⽣。尤其要掌握倒车停船性能，当快速航进中，遇到紧急情况时，只有在充分了解本船的紧急停船距离，才能避免碰撞的发⽣。
215,影响紧急停船距离（冲程）的因素有哪些？,影响紧急停船的因素：1）主机倒车功率、换相时间；2）推进器种类；3）排⽔量 4）船速5）其他因素：顺流冲程⼤，顶流冲程⼩；浅⽔阻⼒⼤；污底严重阻⼒⼤、冲程⼩等
216,何谓舵效,⼴义：船体对舵的响应。即舵对于船舶转⾸的控制作⽤。狭义：运动中的船舶操纵舵角δ后，船舶在较短的时间内，在较短的距离内（L或2L）（⼀定的水域内）转⾸角的⼤⼩来表⽰舵效的好坏。能在较短的时间、较⼩⽔域内有较⼤的回转角，称该船的舵效好。反之，则舵效差；
217,影响舵效的因素有哪些？,1）舵角和舵⾯积⽐；2）舵速3）吃⽔4）纵倾和横倾 5）舵机性能6）其他因素
218,浮态种类,正浮，单线横倾，单线纵倾，任意倾斜状态
219,漂浮平衡条件,重力与浮力相等，方向相反；重心与浮心在同一铅垂线上
220,水密度变化对吃水的影响,由浅水进入海水，吃水减少；由海水进入淡水，吃水增加
221,民用船舶排水量是什么,船舶满载出港时的排水量
222,军用船舶排水量是什么,军用船舶正式航行时的排水量
223,稳性按其倾角大小分类,分为初稳性，大倾角稳性
224,稳性按其倾斜方向怎么分类,分为横稳性，纵稳性
225,稳性按其作用力矩的性质怎么分类,分为静稳性，动稳性
226,稳性按其船舱状态怎么分类,分为完整稳性，破舱稳性
227,初稳性用途是什么,判断水面船舶能否平衡；在营运过程中，处理船内重物移动及调整浮态，确定新的 GM
228,如何提高船舶稳性,降低船舶重心；增大船宽；加大型深刻提高船舶打倾角稳性；减小受风面积。
229,船舶阻力分类,1. 船舶的阻力可分为基本阻力与附加阻力 2. 基本阻力可分为摩擦力，粘压阻力（涡流阻力），兴波阻力。 3. 附阻力分为污底阻力，附体阻力，空气阻力，汹涛阻，浅水附加阻力。
230,船体阻力成因,1. 船体在运动过程中兴起波浪，船首波峰使首部压力增加。 2. 船尾波谷使尾部压力减少，产生水的粘性，使船体周围形成“边界层”从而使船体运动过程中受到阻力。 3. 在船体曲度骤变出，特别是船尾常产生漩涡，引起船体前后压力平衡产生粘压阻力
231,螺旋桨几何要素,直径，螺距比，叶数，盘压比
232,如何避免空泡,在设计时，通常采用增大盘面比，用低速主机或设置减速箱减低转速，改善尾部线型，处理好船与桨之间的距离，尽可能使桨处在均匀流场中，对营运船舶，主要使螺旋桨具有足够的沉深。
233,回转圈是什么,船在转舵前等述直线运动，自转舵起船舶重心轨迹曲线为回转圈。
234,回转圈有哪几个阶段,转舵钱等速直航，转舵后至转舵毕的机动期， Ri 改变的渐变期， r 为定制的稳定期
235,如何提高船舶的抗沉性,增加储备浮力   合理分舱增加水密舱数   改进船体形状   不超载   保持适当浮态与稳性
236,舶摇荡运动有什么危害,影响船舶航行性能和强度、影响仪器设备正常工作、货移、货损 、影响船员舒适性
237,船体结构包括哪些成分,船底结构、单底结构和双底结构、船侧结构、即链接船底与甲板的侧壁结构、甲板结构、舷边结构。舱壁结构。横纵舱壁、首层结构、首部与尾部结构
238,基本阻力是什么,新出坞的裸体船在平静水面深水行驶时水对船体产的阻力
239,稳性曲线上主要特性有什么,原点出的曲率等于初稳性高度，在倾角为 30 时，对应复原力臂 GZ 可以用于表征船舶的大倾角静稳性，静稳性去向上升段存在一个反曲点，此点曲线斜率最大，横倾角为甲板入水角   静稳下的面积 A1-2 ，曲线下的面积越大，船舶稳性越大。
240,良好的耐波性船的特征是什么,1. 在风浪中没有几句的纵摇和晃荡，迎浪时骑浪而不钻浪，船首不浸水，少溅水。 2. 横摇同周期不太快，摆幅不太大，没有急剧连续的螺旋式运动。 3. 在各种风向下，既能保持航向，操纵船舶，无过大失速现象，螺旋桨不出水飞车 4. 传授没有剧烈的波击现象。
241,影响摩擦阻力的因素有哪些,流体的粘性，速度和梯度，湿表面，曲度
242,船舶在登记、丈量时使用的尺度是,登记尺度
243,判断船舶能否停靠某一码头时所使用的尺度是,最大尺度
244,船舶在设计时使用的尺度为,船型尺度
245,船型尺度包括哪些,垂线间长、型深、型宽、型吃水
246,船舶实际吃水与型吃水两者相比,相差龙骨板厚度
247,从船舶型线图上量取的尺度为,型尺度
248,商船水尺读数表示,水面到船底深度
249,水尺是刻划在船壳板上的,吃水标志
250,怎样提高观测吃水的精度,利用吊板、绳梯或小艇使观测者与水尺的观测位置尽可能接近观测者视线与水面的角度应尽可能减小，观测者视线应尽可能与曲面表面垂直携小尺至水尺的水线处，量取水线的确切位置  
251,当船舶仅有横倾时，平均吃水为,中部两舷的平均吃水
252,如何提高夜间观测吃水的精度,利用强力照明设备、水面撒轻物、投小石击起浪花
253,某轮装载后漂心在船中且船体无拱垂变形，则船中平均吃水与大小关系是什么,此时二者的大小与船舶的纵倾状态无关
254,某轮装载后漂心在船中且船体无拱垂变形，则船舶的船中平均吃水和船舶等容平均吃水关系是,相等
255,某轮在某装载状态下的一处水线位于水尺标志“Ⅸ”字体的底边缘，则该处的吃水为,9英尺
256,某轮在某装载状态下的一处水线位于水尺标志“Ⅳ ”字体的顶边缘，则该处的吃水为,4英尺6英寸
257,某轮在某装载状态下的一处水线位于水尺标志“Ⅳ ～Ⅴ”字体间距的一半处，则该处的吃水为,4英尺9英寸
258,当船舶某装载状态下的某处水线达到水尺标志的数字的多少处时，则该处的吃水为该数字加上 10cm 。,顶边缘
259,船舶等容吃水是指,横倾时左、右舷吃水平均值纵倾时首、尾吃水平均值任意浮态时左、右舷吃水平均值
260,当船舶排水量一定时，由淡水港进入海水港时吃水如何变化,吃水减少
261,船舶由海水水域驶入淡水水域时，若不计其油水消耗，则船舶所受浮力如何变化,浮力不变
262,海水密度的增加，排水量怎么变化,不影响排水量
263,船舶由海水驶入淡水时，排水量怎么变化,排水量不变
264,船舶由海水驶入淡水时，吃水怎么变化,吃水增加
265,船舶由海水驶入淡水时，浮心怎么变化,浮心位置不定
266,船舶由海水驶入淡水时，纵倾状态怎么变化,纵倾状态的变化趋势不定
267,船舶满载时由淡水驶入海水时，排水量怎么变化,排水量不变
268,船舶满载时由淡水驶入海水时，吃水怎么变化,吃水减少
269,船舶满载时由淡水驶入海水时，浮心怎么变化,浮心位置无法确定
270,船舶由淡水驶入半淡水时，排水量怎么变化,排水量不变
271,船舶由淡水驶入半淡水时，吃水怎么变化,吃水减少
272,船舶由淡水驶入半淡水时，浮心怎么变化,浮心位置无法确定
273,船舶由半淡水驶入淡水时，排水量怎么变化,排水量不变
274,船舶由半淡水驶入淡水时，吃水怎么变化,吃水增加
275,船舶由半淡水驶入淡水时，浮心怎么变化,浮心位置无法确定
276,船舶由海水水域进入淡水水域，什么会常常发生变化,浮心和吃水
277,当船舶从淡水水域驶入海水水域时，吃水如何变化,吃水减小
278,一般而言，当船舶半载时由海水驶入淡水时，浮心和漂心如何变化,浮心后移，漂心后移
279,当船舶舷外水密度增加时，排水量如何变化,船舶排水量不变
280,当船舶舷外水密度减少时，船舶所受浮力如何变化,浮力不变
281,船舶的空船重量包括哪些,锅炉中的燃料、冷凝器中水的重量、船体、机器设备及船舶舾装的重量
282,船舶的空船重量系指,船体、机器、舾装、仪器设备、锅炉中燃料和水、冷凝器中的水等重量
283,空船排水量不包括什么,船员、行李和备品
284,船舶资料中列出的满载排水量通常是指什么,夏季排水量
285,船舶装载排水量是指什么,装载后实际排水量
286,空船及船舶装载后货物、船存油水、压载水、船员行李及备品、船舶常数等重量之和称为,装载排水量
287,为保证船舶不超载，船舶装载排水量应不超过什么,允许使用的载重线所对应的排水量
288,通常以什么作为船舶大小的指标,夏季排水量
289,对一般干散货船而言，表征其重量性能的指标是,载重量
290,船舶的总载重量DW（总载重量）一定时，NDW（净载重量）与什么有关,航线长短、油水消耗定额、船舶常数
291,船舶净载重量是以多少作为1公吨,1000kg 的重量
292,船舶的重量性能包括,排水量和载重量
293,杂货船的航次净载重量NDW是指,具体航次中所能装载货物的最大重量
294,通常用重量来表示船舶大小时，所指的都是什么,总载重量
295,某船为 8000吨远洋货船，8000吨是指,总载重量
296,总载重量DW的主要用途有,签订租船合同的依据船舶配积载的依据统计船舶拥有量计算航次净载重量的依据
297,衡量船舶重量性能的指标中，什么常被用来表示船舶的大小,总载重量DW
298,在营运管理中，什么常被用以作为航线配船、定舱配载、船舶配积载等的重要依据,总载重量DW
299,什么常被用来统计普通货船的重量拥有量,总载重量DW
300,船舶总载重量DW是指,在任一水线时船舶所能装载的最大重量
301,通常情况下，表征船舶载重能力大小的指标是,总载重量DW
302,船舶在装货港的最大吃水受限时，船舶航次净载重量与什么无关,货物计量方法
303,散货船航次宣载书主要宣载船舶舱容和什么,净载重量
304,当船舶航次一定时，航次净载重量是变值还是定值，航次最大装货重量是变值还是定值,都是定值
305,当航次吃水不受限时，船舶航次总载重量随舷外水密度的增加而,不变
306,船舶的总载重量确定后，航次装货量通常会受航次中的什么 因素限制,船舶常数、油水消耗、过大的货物积载因数
307,船舶航次总载重量不包括哪个重量,空船
308,当船舶航次总载重量确定后，其净载重量NDW与什么无关,载重线
309,船舶航次最大装货量与船员行李重量的关系是,最大装货量随船员行李重量的增大而减少、最大装货量受船员行李重量变化的影响不大
310,杂货船的航次净载重量NDW等于,总载重量减去航次储备量及船舶常数
311,杂货船的航次净载重量NDW等于,排水量减去空船重量及航次储备量和船舶常数
312,载重量一定时，船舶的净载重量NDW与什么无关,空船排水量
313,船舶的总载重量等于船舶的满载排水量减去什么,空船重量
314,在签订租船合同时，什么常被用来表征普通货船的装载能力,总载重量DW
315,船舶允许使用的总载重量减去航次储备量及船舶常数为,航次净载重量
316,船舶净吨的大小是根据什么决定的,载货处所的总舱容
317,包装舱容主要作为衡量什么容积性能的指标,杂货船
318,对于普通船舶，通常按什么计收运河通行费,运河净吨
319,运河吨与船舶吨位证书中的登记吨的关系,运河吨大于船舶吨位证书中的登记吨
320,国际公约中划分船舶等级、提出技术管理和设备要求通常以什么为基准,总吨
321,通常以什么为指标统计船舶建造能力,总吨
322,船舶登记、检验、丈量计费通常以什么为基准,总吨
323,船舶缴纳吨税通常以什么为基准,净吨
324,船舶静水力曲线图是表示船舶正浮状态下的什么与吃水的关系曲线的总称,船型系数、浮性要素、初稳性要素
325,静水力曲线图上，船舶的排水量曲线呈什么形,略微上凸
326,船舶静水力曲线图的纵向坐标通常表示船舶的什么吃水,平均型吃水
327,船舶的垂向棱形系数越大，表明船舶,水下船体形状在垂向上越肥胖
328,船舶的方形系数越大，表明船舶,水下船体形状越肥胖
329,在静水力曲线图中，什么数据相互成正比,淡水排水量曲线和海水排水量曲线水线面面积曲线和厘米吃水吨数曲线海水排水量曲线和海水型排水体积曲线
330,船舶的水线面系数越大，表明船,水线面形状越肥胖
331,船舶的中横剖面系数越大，表明船舶,水线下中横剖面形状越肥胖
332,由静水力曲线图可知，船舶排水量的变化规律是,吃水较小时随吃水的增加较慢，吃水较大时随吃水的增加较快
333,由静水力曲线图可知，船舶排水体积的变化规律是,吃水较小时随吃水的增加较慢，吃水较大时随吃水的增加较快
334,表征船舶在静止正浮状态下其平均吃水与船舶若干性能参数的一组关系曲线称为,静水力曲线图
335,若某船缺少静水力性能资料，可用什么资料作参考,主尺度及船体形状相同的其它船静水力性能
336,油船设置纵向水密舱壁的目的是,减少自由液面影响
337,集装箱船的机舱一般设在什么位置,中尾部和尾部
338,需设置上下边舱的船是,散货船
339,装卸效率高、货运周期短、货损小、装卸作业简单的船是,集装箱船
340,何种船舶的货舱内需设加温管系,油船
341,矿砂船设置大容量压载边舱，其主要作用是,保证空载时吃水和稳性
342,油船的货油舱和居住舱室之间应设置什么舱,隔离舱
343,新型油船设置双层底的主要目的是,防止污染海洋
344,抗沉性最差的船是,滚装船
345,横舱壁最少和纵舱壁最多的船分别是,滚装船，油船
346,单甲板船有哪些,油船，干散货船，集装箱船
347,对稳性、抗沉性和快速性要求最高的船为,客船
348,集装箱船通常用什么表示其载重能力,标准箱TEU数目
349,常用的两种集装箱型号和标准箱分别是,40ft集装箱、20ft集装箱
350,集装箱船设置双层船壳的主要原因是,提高船体扭转强度
351,结构简单，成本低，装卸轻杂货物作业效率高，调运过程中货物摇晃小的起货设备是,单吊杆式
352,具有操作与维修保养方便、劳动强度小、作业的准备和收尾工作少，并且可以遥控操作的起货设备是,单个回转式
353,加强船舶首尾端的结构，是为了提高船舶的,局部强度
354,肋板属于什么材料,横向骨材
355,船体受到最大总纵弯矩的部位是,船舯
356,机舱内的双层底较其他货舱内双层底高的目的是,保证与螺旋桨轴线配合
357,船舶附体包括哪些,舵、螺旋桨、舭龙骨、减摇鳍、尾轴架
358,目前船上应用最普遍的起货设备是,单吊杆装置和单个回转式起货机
359,首尾尖舱的舱壁是,水密舱壁
360,大型杂货舱的上甲板多采用纵骨架式结构的目的是,提高总纵强度
361,如果甲板受到拉应力，而船底受到压应力时，船体哪个部位发生变形,中拱
362,油船货油舱与居住舱之间应设置,隔离舱
363,横骨架式舷侧结构中，每隔三四个助位设置一强肋骨，是为了,提高局部强度
364,杂货船的骨架结构，一般采用什么结构,上甲板用纵骨架式结构，下甲板用横骨架式结构
365,油船的货油舱设置纵向舱壁的主要目的是,减少自由液面的影响
366,万吨级杂货船的下甲板都采用什么结构,横骨架式结构
367,船舶发生中垂时，甲板受什么力,甲板受压力
368,船舶发生中垂时，船底受压力还是拉力,船底受拉力
369,中尾机型船适用于什么船,高速定期普通货船、高速集装箱船
370,按照机舱在船长方向的位置划分船型，中机型船主要适用于什么船,客船
371,液舱一般都对称于船舶纵向中心线设置的原因是,破舱稳定需要
372,舱室四周需设置隔离空舱的是,润滑油舱
373,在单桨船上，尾轴轴隧的中心线一般是,偏向右舷
374,增大船舶的舭部升高和舭部圆弧半径，则船舶的阻力如何变化,阻力降低
375,增大船舶的舭部升高和舭部圆弧半径，则船舶的船速如何变化,航速增加
376,增大船舶的舭部升高和舭部圆弧半径，则船舶的舱容如何变化,舱容减少
377,球鼻型船艏优点有,减少兴波阻力
378,一般商船的龙骨线是,水平直线
379,总纵弯曲力矩沿船长方向的分布规律为,弯曲力矩值向首尾两端逐渐减少
380,船体强度是指船体结构抵抗什么作用的能力,内力和外力
381,不带滤网的直通污水管路，设在什么位置,机舱的后部
382,船体外板中的每块钢板的大小、厚度是标识在何种图纸上的,外板展开图
383,船体发生总纵弯曲的原因是,由于重力和浮力分布不均匀
384,船体结构中的实肋板是布置在,船底
385,在船体结构图中的细点划线是表示,液舱范围线
386,由船舶的中拱和中垂而引起的挠度一般不得大于船长的,1／1000
387,机舱内双层底高于货舱内双层底的主要原因是,为了主机和轴配合，减小机座高度
388,主机用的滑油循环舱，通常位于,机舱下面双层底内
389,何种船的货舱内需设斜梯,散货船
390,首垂线是指,过首柱前缘与夏季载重线的交点所作的垂线
391,中横剖面是指,中站面与船体相截所得的剖面
392,在船体型线图的横剖线图上，表示船体真实形状的是,横剖线
393,梁拱的主要作用是,迅速排泄甲板积水
394,龙骨线是指,中线面与船体型表面底部的交线
395,舷弧是表示,上甲板边线的纵向曲度
396,船舶的主尺度是根据哪种规范定义的,钢质海船入级与建造规范
397,油船的船底结构一般采用什么结构,纵骨架式结构
398,船舶的首尾尖舱可作为什么,储存淡水，航行中可调节纵倾
399,船舶最上一层连续甲板通常称为,上甲板
400,组成船体纵向强度的主要构件是,桁材
401,按规范规定，要求油舱和油、水柜的溢流管截面积不小于注入管的,1．25倍
402,在轴隧通往机舱的舱壁上均须安装水密门，其操纵部位为,机能侧、轴隧侧、用电动液压机构远操
403,船舶主柴油机基座主要是由什么组成,两道纵桁、横隔板、肘板及垫板
404,在舷侧竖向布置的角钢构件称为,肋骨
405,外板承担船体的什么强度,总纵弯曲强度、横、局部强度、局部强度
406,机舱前后的舱壁采用什么舱壁,水密舱壁
407,首尾尖舱的舱壁采用什么舱壁,防撞舱壁
408,二氧化碳灭火系统不适用于,客舱
409,承担主机重力作用的主要构件是主机基座中的,两道纵桁
410,液舱中的测深管不宜设置在什么位置,液舱左右两舷
411,应急消防泵应设置在哪儿,独立水密舱内
412,船舱破损大量进水，可用于应急排水的泵有,压载水泵和主海水冷却泵
413,甲板上货舱口角隅处产生裂缝，其原因可能是,应力集中
414,在露天甲板上，舱口围板的高度至少在,0.6m以上
415,舷墙和栏杆的高度应不小于,1．0m
416,船首尾端所受的总纵弯曲力矩大小,较小
417,船首尾端所受的局部作用力大小,较大
418,左右两舷侧纵桁之间设有强胸横梁的有,首尖舱、尾尖舱
419,设置制荡舱壁的船舱有,首尾尖舱
420,钢质船舶均采用横骨架式结构的船体部分是,首尾端区域结构
421,从机舱通往轴隧的水密门，一般是几级水密门,二级
422,加强机舱舷侧结构的措施是增设什么,强肋骨
423,机舱振动较大，它的舷侧结构需要加强，为此该区域与其它舱室舷侧结构的主要区别在于,增加了强肋骨和舷侧纵桁
424,总布置图是由哪几组图组成的,侧面图，甲板平面图，平台平面图，舱底平面图
425,比较集中地体现船舶的用途、任务和经济性能的图纸是,总布置图
426,外板展开图中，外板的横向尺寸和纵向尺寸,分别为实际长度和投影长度
427,表示板材、骨材，如：甲板、外板、纵桁等剖面的简化线是,粗实线
428,在船体结构图中，轨道线是表示,不可见水密板材的简化线
429,中机型船比尾机型船容易调节什么,纵倾
430,在主尺度相同的情况下，中机型船比尾机型船装货,少
431,尾机型船的优点是,装卸效率高、结构连续、轴系短
432,轴隧与机舱之间需安装一道什么门,水密
433,散装货船采用尾机型的主要目的是,扩大货舱容积和方便装卸货
434,按机舱在船长方向的位置划分船型，油船一般适用于什么船型,尾机型船
435,液舱空气管的内径均不得小于多少mm,50mm
436,油舱的空气管内径则不得小于多少mm,100mm
437,船进坞需要修理水舱时，通过什么放净舱底水,船底塞
438,海底阀门进水孔一定要位于什么位置,空船吃水线以下
439,民用船舶一般不设置何种型机舱,首机型
440,保证液体舱在注入或排出液体时，舱内空气能自由地从管中排出或进入舱中的是,空气管
441,燃、滑油舱测深管的上端口必须伸至,露天甲板上
442,强肋骨一般是布置在何种舱室中,机舱
443,任何海洋运输船舶均需设置的舱壁有,防撞舱壁
444,机舱的前后端均设有,水密横舱壁
445,对于机舱在中部的船舶，要求设水密横舱壁一般多少道,不少于四道
446,在船舶防撞舱壁上,不准开设门、人孔、通风管等
447,普通杂货船设有支柱，其作用是,支撑上一层甲板的载荷、力的传递作用
448,一般杂货船的舷侧结构多为,横骨架式
449,舷侧肋骨的主要作用是,保证横向强度
450,在横骨架式舷侧结构中装设强肋骨是为了,保证横向强度
451,用来分隔不同用途双层底舱的肋板是,水密或油密肋板
452,双层底中的实肋板可以开口吗,可以开口
453,舷侧结构中的横向构件是,肋骨
454,船底结构中，纵向连续构件有,中内龙骨，中底桁
455,在横骨架式船体结构中，船体底部中心线上的纵向构件是,中底桁
456,船底结构中的横向构件是,肋板
457,上甲板中最厚的板是,甲板边板
458,纵骨架式单层底结构，一般应用于,油船
459,各层甲板中最厚的一层甲板是,强力甲板
460,甲板厚度最大的区域是,船中
461,强力甲板板最厚的区域是,船体中部0．4船长
462,甲板结构中的横向构件是,横梁
463,全船最薄的甲板板是,舱口之间的甲板板
464,保证船体横向强度的构件是,"肋骨, 肋板，横梁"
465,肋骨框架是由什么组成,肋板，肋骨，横梁，肘板
466,在外板展开图中“K”列板是表示,平板龙骨
467,外板中较厚的列板是,平板龙骨、舷顶列板
468,船体外板厚度沿纵向首、中、尾的分布原则是,小大小
469,沿垂向底、侧、顶的分布原则是,大小大
470,纵骨架式甲板结构用于,纵骨架式和混合骨架式船体结构中的强力甲板
471,纵骨架式结构适用于什么船,油船
472,相同尺寸的杂货船，采用纵骨架式比采用横骨架式装货,少
473,杂货船一般采用的结构形式是,混合骨架式结构
474,船体结构形式有,横骨架式、纵骨架式、混合骨架式
475,纵骨架式船体结构比横骨架式船体结构建造,困难
476,甲板所受的总纵弯曲应力比船底所受的弯曲应力,大
477,相同尺寸的船舶，采用纵骨架式比采用横骨架式的船体重量,轻
478,船体结构抵抗各种内力和外力作用的能力称为,船体强度
479,船体受剪力最大的部位是,距首尾1／4船长处
480,船体发生纵向弯曲变形和破坏是由于,总纵弯曲强度不足
481,对船体总纵强度最起作用的是,甲板和船底
482,船舶在海上遇到“标准波”时，当船舶处于什么状态时，浮力的分布对船体总纵强度是最不利的,船中位于波峰、船中位于波谷
483,船中处于波峰时，船舶处于什么状态,中拱
484,中机型货舱满载航行遇到波浪时，可能会发生什么变形,中拱弯曲变形
485,油船满载航行遇到波浪时，可能会发生什么变形,中垂弯曲变形
486,在船体结构图中的粗点划线表示,不可见主要构件
487,在船舶总布置图中横向构件和纵向构件是标注在何种图纸上,横剖面图
488,船舶最上一层连续甲板通常称为,上甲板
489,根据甲板上下位置不同，最上一层连续甲板称为,上甲板
490,宽度等于上甲板宽度的肿部上层建筑叫,桥楼
491,上甲板以下的第一层甲板称为,第二甲板
492,船舶最高一层甲板和船体最高一层全通甲板分别为,罗经甲板，上甲板
493,主船体是指,上甲板以下的船体
494,两侧壁到舷边的距离大于4％船宽的上层建筑叫,甲板室
495,船舶甲板室设置在哪儿,可设在局部、中部，不能设在首部
496,长首楼和长尾楼的长度分别超过船长的,25％，25％
497,船上蓄电池室一般位于,艇甲板上
498,灯具间、油漆间一般位于,首楼内
499,应急发电机室一胶位于,艇甲板
